iter	Passed	Remaining
1123	6954	5419
1124	6957	5411
1125	6960	5402
1126	6963	5393
1127	6965	5384
1128	6968	5375
1129	6971	5367
1130	6974	5358
1131	6976	5349
1132	6979	5341
1133	6982	5332
1134	6985	5323
1135	6987	5314
1136	6990	5305
1137	6994	5297
1138	6997	5289
1139	6999	5280
1140	7002	5271
1141	7005	5262
1142	7007	5254
1143	7010	5245
1144	7012	5236
1145	7015	5227
1146	7018	5219
1147	7021	5211
1148	7024	5202
1149	7027	5194
1150	7029	5185
1151	7032	5176
1152	7035	5168
1153	7038	5159
1154	7040	5151
1155	7043	5142
1156	7046	5133
1157	7049	5125
1158	7051	5116
1159	7054	5108
1160	7057	5099
1161	7059	5091
1162	7062	5082
1163	7065	5074
1164	7067	5065
1165	7071	5057
1166	7074	5049
1167	7076	5040
1168	7080	5032
1169	7082	5024
1170	7085	5016
1171	7088	5007
1172	7090	4999
1173	7093	4991
1174	7096	4982
1175	7099	4974
1176	7102	4966
1177	7105	4958
1178	7108	4949
1179	7111	4941
1180	7114	4933
1181	7117	4925
1182	7120	4917
1183	7124	4909
1184	7126	4901
1185	7129	4893
1186	7131	4884
1187	7134	4876
1188	7138	4869
1189	7141	4861
1190	7144	4853
1191	7147	4844
1192	7149	4836
1193	7152	4828
1194	7154	4819
1195	7157	4811
1196	7160	4803
1197	7163	4795
1198	7166	4787
1199	7168	4779
1200	7173	4772
1201	7176	4764
1202	7180	4757
1203	7183	4749
1204	7187	4741
1205	7190	4733
1206	7194	4726
1207	7197	4719
1208	7201	4711
1209	7204	4704
1210	7208	4696
1211	7213	4689
1212	7215	4681
1213	7218	4673
1214	7222	4666
1215	7225	4658
1216	7230	4651
1217	7232	4643
1218	7235	4635
1219	7239	4628
1220	7241	4620
1221	7244	4612
1222	7248	4604
1223	7251	4597
1224	7254	4589
1225	7258	4582
1226	7260	4574
1227	7263	4566
1228	7267	4558
1229	7270	4551
1230	7273	4543
1231	7275	4535
1232	7277	4527
1233	7280	4519
1234	7282	4510
1235	7284	4502
1236	7287	4495
1237	7290	4487
1238	7293	4479
1239	7296	4472
1240	7298	4464
1241	7301	4456
1242	7304	4448
1243	7306	4440
1244	7308	4432
1245	7310	4423
1246	7312	4415
1247	7314	4407
1248	7316	4399
1249	7318	4390
1250	7320	4383
1251	7323	4375
1252	7325	4367
1253	7327	4359
1254	7329	4351
1255	7331	4342
1256	7333	4334
1257	7336	4327
1258	7338	4319
1259	7340	4311
1260	7343	4303
1261	7345	4295
1262	7347	4287
1263	7349	4279
1264	7351	4271
1265	7354	4263
1266	7356	4255
1267	7358	4247
1268	7360	4239
1269	7363	4232
1270	7365	4224
1271	7367	4216
1272	7370	4208
1273	7372	4201
1274	7375	4193
1275	7377	4185
1276	7379	4177
1277	7381	4169
1278	7382	4161
1279	7384	4153
1280	7386	4146
1281	7388	4138
1282	7390	4130
1283	7392	4122
1284	7394	4114
1285	7396	4106
1286	7398	4098
1287	7400	4091
1288	7402	4083
1289	7404	4075
1290	7406	4067
1291	7408	4059
1292	7410	4052
1293	7412	4044
1294	7414	4036
1295	7416	4028
1296	7418	4021
1297	7420	4013
1298	7422	4005
1299	7424	3997
1300	7426	3989
1301	7427	3982
1302	7429	3974
1303	7431	3966
1304	7433	3958
1305	7435	3951
1306	7437	3943
1307	7439	3935
1308	7441	3928
1309	7442	3920
1310	7444	3912
1311	7446	3904
1312	7448	3897
1313	7450	3889
1314	7452	3881
1315	7454	3874
1316	7455	3866
1317	7458	3859
1318	7459	3851
1319	7461	3843
1320	7463	3836
1321	7465	3828
1322	7467	3821
1323	7469	3813
1324	7471	3806
1325	7473	3798
1326	7475	3791
1327	7477	3784
1328	7479	3776
1329	7481	3769
1330	7484	3761
1331	7486	3754
1332	7489	3747
1333	7491	3740
1334	7493	3732
1335	7495	3725
1336	7497	3717
1337	7499	3710
1338	7500	3702
1339	7502	3695
1340	7504	3688
1341	7506	3680
1342	7508	3673
1343	7510	3666
1344	7513	3658
1345	7515	3651
1346	7517	3644
1347	7519	3637
1348	7521	3629
1349	7523	3622
1350	7525	3615
1351	7527	3607
1352	7529	3600
1353	7531	3593
1354	7534	3586
1355	7536	3579
1356	7538	3571
1357	7539	3564
1358	7541	3557
1359	7543	3549
1360	7545	3542
1361	7547	3535
1362	7549	3528
1363	7552	3521
1364	7554	3514
1365	7556	3507
1366	7558	3499
1367	7560	3492
1368	7561	3485
1369	7563	3478
1370	7565	3471
1371	7567	3463
1372	7569	3456
1373	7571	3449
1374	7573	3442
1375	7575	3435
1376	7577	3428
1377	7578	3420
1378	7580	3413
1379	7582	3406
1380	7584	3399
1381	7586	3392
